DEBUG | 2024-11-06 17:28:59,128 | 2
DEBUG | 2024-11-06 17:28:59,128 | 3
DEBUG | 2024-11-06 17:28:59,128 | 4
DEBUG | 2024-11-06 17:28:59,128 | 5
DEBUG | 2024-11-06 17:28:59,128 | 6
DEBUG | 2024-11-06 17:28:59,128 | 7
DEBUG | 2024-11-06 17:28:59,128 | 8
DEBUG | 2024-11-06 17:28:59,128 | 9
DEBUG | 2024-11-06 17:28:59,129 | 10
DEBUG | 2024-11-06 17:28:59,130 | Write completed.
DEBUG | 2024-11-06 17:31:13,181 | writer is waiting
DEBUG | 2024-11-06 17:31:13,181 | 1
DEBUG | 2024-11-06 17:31:13,181 | 2
DEBUG | 2024-11-06 17:31:13,181 | 3
DEBUG | 2024-11-06 17:31:13,181 | 4
DEBUG | 2024-11-06 17:31:13,181 | 5
DEBUG | 2024-11-06 17:31:13,181 | 6
DEBUG | 2024-11-06 17:31:13,181 | 7
DEBUG | 2024-11-06 17:31:13,182 | 8
DEBUG | 2024-11-06 17:31:13,182 | 9
DEBUG | 2024-11-06 17:31:13,182 | 10
DEBUG | 2024-11-06 17:31:13,183 | Write completed.
DEBUG | 2024-11-06 17:31:13,184 | writer is waiting
DEBUG | 2024-11-06 17:31:13,185 | 1
DEBUG | 2024-11-06 17:31:13,185 | 2
DEBUG | 2024-11-06 17:31:13,185 | 3
DEBUG | 2024-11-06 17:31:13,185 | Read value: daniel
DEBUG | 2024-11-06 17:31:13,185 | 4
DEBUG | 2024-11-06 17:31:13,185 | Read value: daniel
DEBUG | 2024-11-06 17:31:13,185 | 5
DEBUG | 2024-11-06 17:31:13,185 | 6
DEBUG | 2024-11-06 17:31:13,185 | Read value: daniel
DEBUG | 2024-11-06 17:31:13,185 | 7
DEBUG | 2024-11-06 17:31:13,186 | 8
DEBUG | 2024-11-06 17:31:13,186 | Read value: daniel
DEBUG | 2024-11-06 17:31:13,186 | Read value: daniel
DEBUG | 2024-11-06 17:31:13,186 | 9
DEBUG | 2024-11-06 17:31:13,186 | 10
DEBUG | 2024-11-06 17:31:13,186 | Read value: daniel
